Continent,OBJECTID,CNTRY_NAME,Permeability,Porosity,Depth,Thickness,Area,WHYClass,GCAM_ID,Basin_Name
NA,1111,United States,-13.27851035,0.05,0,60,1.00E+09,10,100,Model_Comparison
NA,1112,United States,-12.97748035,0.05,0,60,1.00E+09,10,100,Model_Comparison
NA,1113,United States,-12.27851035,0.05,0,60,1.00E+09,10,100,Model_Comparison
NA,1114,United States,-11.97748035,0.05,0,60,1.00E+09,10,100,Model_Comparison
NA,1115,United States,-11.27851035,0.05,0,60,1.00E+09,10,100,Model_Comparison
NA,1116,United States,-13.27851035,0.05,0,120,1.00E+09,10,100,Model_Comparison
NA,1117,United States,-12.97748035,0.05,0,120,1.00E+09,10,100,Model_Comparison
NA,1118,United States,-12.27851035,0.05,0,120,1.00E+09,10,100,Model_Comparison
NA,1119,United States,-11.97748035,0.05,0,120,1.00E+09,10,100,Model_Comparison
NA,1120,United States,-11.27851035,0.05,0,120,1.00E+09,10,100,Model_Comparison
NA,1121,United States,-13.27851035,0.05,0,180,1.00E+09,10,100,Model_Comparison
NA,1122,United States,-12.97748035,0.05,0,180,1.00E+09,10,100,Model_Comparison
NA,1123,United States,-12.27851035,0.05,0,180,1.00E+09,10,100,Model_Comparison
NA,1124,United States,-11.97748035,0.05,0,180,1.00E+09,10,100,Model_Comparison
NA,1125,United States,-11.27851035,0.05,0,180,1.00E+09,10,100,Model_Comparison
NA,1126,United States,-13.27851035,0.05,0,240,1.00E+09,10,100,Model_Comparison
NA,1127,United States,-12.97748035,0.05,0,240,1.00E+09,10,100,Model_Comparison
NA,1128,United States,-12.27851035,0.05,0,240,1.00E+09,10,100,Model_Comparison
NA,1129,United States,-11.97748035,0.05,0,240,1.00E+09,10,100,Model_Comparison
NA,1130,United States,-11.27851035,0.05,0,240,1.00E+09,10,100,Model_Comparison
NA,1131,United States,-13.27851035,0.05,0,300,1.00E+09,10,100,Model_Comparison
NA,1132,United States,-12.97748035,0.05,0,300,1.00E+09,10,100,Model_Comparison
NA,1133,United States,-12.27851035,0.05,0,300,1.00E+09,10,100,Model_Comparison
NA,1134,United States,-11.97748035,0.05,0,300,1.00E+09,10,100,Model_Comparison
NA,1135,United States,-11.27851035,0.05,0,300,1.00E+09,10,100,Model_Comparison
NA,1136,United States,-13.27851035,0.05,0,360,1.00E+09,10,100,Model_Comparison
NA,1137,United States,-12.97748035,0.05,0,360,1.00E+09,10,100,Model_Comparison
NA,1138,United States,-12.27851035,0.05,0,360,1.00E+09,10,100,Model_Comparison
NA,1139,United States,-11.97748035,0.05,0,360,1.00E+09,10,100,Model_Comparison
NA,1140,United States,-11.27851035,0.05,0,360,1.00E+09,10,100,Model_Comparison
NA,1141,United States,-13.27851035,0.15,0,60,1.00E+09,10,100,Model_Comparison
NA,1142,United States,-12.97748035,0.15,0,60,1.00E+09,10,100,Model_Comparison
NA,1143,United States,-12.27851035,0.15,0,60,1.00E+09,10,100,Model_Comparison
NA,1144,United States,-11.97748035,0.15,0,60,1.00E+09,10,100,Model_Comparison
NA,1145,United States,-11.27851035,0.15,0,60,1.00E+09,10,100,Model_Comparison
NA,1146,United States,-13.27851035,0.15,0,120,1.00E+09,10,100,Model_Comparison
NA,1147,United States,-12.97748035,0.15,0,120,1.00E+09,10,100,Model_Comparison
NA,1148,United States,-12.27851035,0.15,0,120,1.00E+09,10,100,Model_Comparison
NA,1149,United States,-11.97748035,0.15,0,120,1.00E+09,10,100,Model_Comparison
NA,1150,United States,-11.27851035,0.15,0,120,1.00E+09,10,100,Model_Comparison
NA,1151,United States,-13.27851035,0.15,0,180,1.00E+09,10,100,Model_Comparison
NA,1152,United States,-12.97748035,0.15,0,180,1.00E+09,10,100,Model_Comparison
NA,1153,United States,-12.27851035,0.15,0,180,1.00E+09,10,100,Model_Comparison
NA,1154,United States,-11.97748035,0.15,0,180,1.00E+09,10,100,Model_Comparison
NA,1155,United States,-11.27851035,0.15,0,180,1.00E+09,10,100,Model_Comparison
NA,1156,United States,-13.27851035,0.15,0,240,1.00E+09,10,100,Model_Comparison
NA,1157,United States,-12.97748035,0.15,0,240,1.00E+09,10,100,Model_Comparison
NA,1158,United States,-12.27851035,0.15,0,240,1.00E+09,10,100,Model_Comparison
NA,1159,United States,-11.97748035,0.15,0,240,1.00E+09,10,100,Model_Comparison
NA,1160,United States,-11.27851035,0.15,0,240,1.00E+09,10,100,Model_Comparison
NA,1161,United States,-13.27851035,0.15,0,300,1.00E+09,10,100,Model_Comparison
NA,1162,United States,-12.97748035,0.15,0,300,1.00E+09,10,100,Model_Comparison
NA,1163,United States,-12.27851035,0.15,0,300,1.00E+09,10,100,Model_Comparison
NA,1164,United States,-11.97748035,0.15,0,300,1.00E+09,10,100,Model_Comparison
NA,1165,United States,-11.27851035,0.15,0,300,1.00E+09,10,100,Model_Comparison
NA,1166,United States,-13.27851035,0.15,0,360,1.00E+09,10,100,Model_Comparison
NA,1167,United States,-12.97748035,0.15,0,360,1.00E+09,10,100,Model_Comparison
NA,1168,United States,-12.27851035,0.15,0,360,1.00E+09,10,100,Model_Comparison
NA,1169,United States,-11.97748035,0.15,0,360,1.00E+09,10,100,Model_Comparison
NA,1170,United States,-11.27851035,0.15,0,360,1.00E+09,10,100,Model_Comparison
NA,1171,United States,-13.27851035,0.3,0,60,1.00E+09,10,100,Model_Comparison
NA,1172,United States,-12.97748035,0.3,0,60,1.00E+09,10,100,Model_Comparison
NA,1173,United States,-12.27851035,0.3,0,60,1.00E+09,10,100,Model_Comparison
NA,1174,United States,-11.97748035,0.3,0,60,1.00E+09,10,100,Model_Comparison
NA,1175,United States,-11.27851035,0.3,0,60,1.00E+09,10,100,Model_Comparison
NA,1176,United States,-13.27851035,0.3,0,120,1.00E+09,10,100,Model_Comparison
NA,1177,United States,-12.97748035,0.3,0,120,1.00E+09,10,100,Model_Comparison
NA,1178,United States,-12.27851035,0.3,0,120,1.00E+09,10,100,Model_Comparison
NA,1179,United States,-11.97748035,0.3,0,120,1.00E+09,10,100,Model_Comparison
NA,1180,United States,-11.27851035,0.3,0,120,1.00E+09,10,100,Model_Comparison
NA,1181,United States,-13.27851035,0.3,0,180,1.00E+09,10,100,Model_Comparison
NA,1182,United States,-12.97748035,0.3,0,180,1.00E+09,10,100,Model_Comparison
NA,1183,United States,-12.27851035,0.3,0,180,1.00E+09,10,100,Model_Comparison
NA,1184,United States,-11.97748035,0.3,0,180,1.00E+09,10,100,Model_Comparison
NA,1185,United States,-11.27851035,0.3,0,180,1.00E+09,10,100,Model_Comparison
NA,1186,United States,-13.27851035,0.3,0,240,1.00E+09,10,100,Model_Comparison
NA,1187,United States,-12.97748035,0.3,0,240,1.00E+09,10,100,Model_Comparison
NA,1188,United States,-12.27851035,0.3,0,240,1.00E+09,10,100,Model_Comparison
NA,1189,United States,-11.97748035,0.3,0,240,1.00E+09,10,100,Model_Comparison
NA,1190,United States,-11.27851035,0.3,0,240,1.00E+09,10,100,Model_Comparison
NA,1191,United States,-13.27851035,0.3,0,300,1.00E+09,10,100,Model_Comparison
NA,1192,United States,-12.97748035,0.3,0,300,1.00E+09,10,100,Model_Comparison
NA,1193,United States,-12.27851035,0.3,0,300,1.00E+09,10,100,Model_Comparison
NA,1194,United States,-11.97748035,0.3,0,300,1.00E+09,10,100,Model_Comparison
NA,1195,United States,-11.27851035,0.3,0,300,1.00E+09,10,100,Model_Comparison
NA,1196,United States,-13.27851035,0.3,0,360,1.00E+09,10,100,Model_Comparison
NA,1197,United States,-12.97748035,0.3,0,360,1.00E+09,10,100,Model_Comparison
NA,1198,United States,-12.27851035,0.3,0,360,1.00E+09,10,100,Model_Comparison
NA,1199,United States,-11.97748035,0.3,0,360,1.00E+09,10,100,Model_Comparison
NA,1200,United States,-11.27851035,0.3,0,360,1.00E+09,10,100,Model_Comparison
